"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"42","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0936000000000001,281.25
"43","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.137,53.711
"44","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0946000000000002,95.703
"45","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3929,-142.58
"46","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1391,301.76
"47","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1738,-179.69
"48","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2962,-40.039
"49","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1911,297.85
"50","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2292,-96.68
"51","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3415,552.73
"52","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.1698,489.26
"53","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3675,-190.43
"54","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.9709,155.27
"55","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0592999999999999,355.47
"56","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.00130000000000008,16.602
"57","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.3274,252.93
"58","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1655,537.11
"59","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0468999999999999,465.82
"60","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.318,245.12
"61","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.0917999999999999,150.39
"62","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.8015,-195.31
"63","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.139,-38.086
"64","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4713,163.09
"65","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2929,-71.289
"66","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,0.0203,148.44
"67","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.1139,452.15
"68","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.4019,459.96
"69","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.7244,207.03
"70","F1",4,-23.493,0.27903,-0.410030201171028,-0.111231689343979,0.255900863979949,-0.2493,-39.063
