"","electrode","chanNo","theta","radius","radianTheta","x","y","amplitude","Times"
"1925","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.1448,498.05
"1926","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.632,186.52
"1927","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7046,82.031
"1928","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.9253,229.49
"1929","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.2883,567.38
"1930","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.5949,62.5
"1931","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.6078,399.41
"1932","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.8366,525.39
"1933","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.7131,231.45
"1934","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.654,485.35
"1935","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.2869,-0.97656
"1936","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.591,120.12
"1937","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.5829,67.383
"1938","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,1.3397,401.37
"1939","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.5819,386.72
"1940","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.697,133.79
"1941","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.9696,390.63
"1942","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.081,467.77
"1943","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.4074,522.46
"1944","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,3.0108,557.62
"1945","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.724,71.289
"1946","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.2321,-181.64
"1947","P8",23,-126.09,0.52808,-2.20068565383965,0.426737596055039,-0.311068337368441,2.2418,37.109
